,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.47604166666666664,0.020833333333333332,0.115625,0.052083333333333336,0.14479166666666668,0.17708333333333334,0.013541666666666667
disgust,0.12612612612612611,0.6306306306306306,0.09009009009009009,0.009009009009009009,0.04504504504504504,0.09009009009009009,0.009009009009009009
fear,0.06679764243614932,0.004911591355599214,0.5088408644400786,0.0412573673870334,0.10412573673870335,0.22789783889980353,0.04616895874263261
happy,0.009315068493150684,0.000547945205479452,0.019726027397260273,0.8712328767123287,0.049315068493150684,0.040547945205479455,0.009315068493150684
neutral,0.03042763157894737,0.0,0.049342105263157895,0.07154605263157894,0.662828947368421,0.17598684210526316,0.009868421052631578
sad,0.04916593503072871,0.0026338893766461808,0.10974539069359086,0.04214223002633889,0.18086040386303776,0.6101843722563652,0.0052677787532923615
surprise,0.011292346298619825,0.0012547051442910915,0.12296110414052698,0.06398996235884567,0.04140526976160602,0.02132998745294856,0.7377666248431619
